DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare2ndQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare,Code,Name,Sector
2022-07-27 00:00:00+09:00,09:00:00,40430,20220707596327,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,84017000000.0,5108000000.0,7109000000.0,4482000000.0,62.29,,455661000000.0,235725000000.0,0.499,3161.97,,,,,,,,,,35.0,35.0,70.0,,,,,,,,,,,,,,,360000000000.0,24500000000.0,25000000000.0,17500000000.0,243.22,,,,,,False,False,False,False,False,72088327.0,137090.0,71951164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4043,トクヤマ,化学
2022-07-27 00:00:00+09:00,15:00:00,40630,20220726504671,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,656707000000.0,249620000000.0,262633000000.0,184124000000.0,446.28,445.98,4173111000000.0,3532947000000.0,0.818,8333.36,,,,,,,,,,225.0,225.0,450.0,,,,,,,,,,,,,,,2550000000000.0,825000000000.0,840000000000.0,588000000000.0,1432.59,,,,,,False,True,False,False,False,416662793.0,6926727.0,412574246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4063,信越化学工業,化学
2022-07-27 00:00:00+09:00,15:30:00,46260,20220726504654,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,25757000000.0,5335000000.0,5119000000.0,3619000000.0,64.47,,191138000000.0,89337000000.0,0.467,1591.02,,,,,,,,,,37.0,37.0,74.0,,,,,55600000000.0,10400000000.0,10400000000.0,7200000000.0,128.23,,,,,,109400000000.0,19000000000.0,18800000000.0,12800000000.0,227.96,,,,,,False,True,False,False,False,58083128.0,1933125.0,56149673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626,太陽ホールディングス,化学
2022-07-27 00:00:00+09:00,15:30:00,77350,20220726505051,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,101826000000.0,17849000000.0,18206000000.0,16091000000.0,343.56,326.57,472518000000.0,260894000000.0,0.552,,29269000000.0,1739000000.0,-19350000000.0,145925000000.0,,,,,,,322.0,322.0,,,,,215000000000.0,34500000000.0,33500000000.0,26000000000.0,551.79,,,,,,460000000000.0,74500000000.0,73000000000.0,50000000000.0,1058.01,,,,,,False,False,False,False,False,50794866.0,3396297.0,46837735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7735,ＳＣＲＥＥＮホールディングス,電気機器
2022-07-27 00:00:00+09:00,15:30:00,27600,20220727505561,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,50677000000.0,2957000000.0,2160000000.0,1479000000.0,149.44,,116584000000.0,32924000000.0,0.273,,-3130000000.0,46000000.0,2273000000.0,4313000000.0,,,,,,105.0,135.0,240.0,,,,,94500000000.0,,3650000000.0,2540000000.0,256.61,,,,,,200000000000.0,,8500000000.0,5900000000.0,596.07,,,,,,False,False,False,False,False,10445500.0,536966.0,9903372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760,東京エレクトロン　デバイス,商社
2022-07-28 00:00:00+09:00,14:00:00,49800,20220728506473,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,26775000000.0,8347000000.0,7260000000.0,4664000000.0,78.13,77.69,118712000000.0,63976000000.0,0.535,1076.72,,,,,,,,,,30.0,35.0,65.0,,,,,,,,,,,,,,,110000000000.0,31000000000.0,29600000000.0,20000000000.0,329.48,,,,,,False,True,False,False,False,64519400.0,5503329.0,59702350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4980,デクセリアルズ,化学
2022-07-28 00:00:00+09:00,15:00:00,67230,20220727505990,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,722908000000.0,210005000000.0,,110437000000.0,56.96,55.82,2858842000000.0,1467728000000.0,0.512,,228303000000.0,-49813000000.0,-181242000000.0,247854000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,1952747173.0,168069831.0,1938971343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723,ルネサスエレクトロニクス,電気機器
2022-07-28 00:00:00+09:00,15:00:00,68570,20220727505700,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,135943000000.0,44783000000.0,,36496000000.0,192.14,191.34,531098000000.0,327879000000.0,0.617,,4008000000.0,-4285000000.0,-13689000000.0,107471000000.0,,,,,,65.0,,,,,,,,,,,,,,,,,550000000000.0,170000000000.0,,130000000000.0,,,,,,,False,False,False,False,,199542265.0,9373394.0,189943510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6857,アドバンテスト,電気機器
2022-07-29 00:00:00+09:00,15:00:00,41860,20220725504265,EarnForecastRevision,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84700000000.0,14800000000.0,15300000000.0,9700000000.0,241.33,,,,,,171800000000.0,30000000000.0,31000000000.0,20400000000.0,506.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186,東京応化工業,化学
2022-07-29 00:00:00+09:00,15:00:00,67580,20220729507341,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,2311494000000.0,306963000000.0,,218196000000.0,176.46,175.21,30374896000000.0,6972228000000.0,0.228,,-430018000000.0,-315057000000.0,-29977000000.0,1371867000000.0,,,,,,35.0,,,,,,,,,,,,,,,,,11500000000000.0,1110000000000.0,,800000000000.0,,,,,,,False,False,False,False,,1261081781.0,24606610.0,1236488860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6758,ソニーグループ,電気機器
